Company,TypeName,ScreenResolution,Ram(GB),OpSys,Weight(kg),HDD,SSD,TouchScreen,IPS,PPI,CpuName,GpuBrand
1,1,11,8,2,1.37,0,128,0,1,226.98,33,1
1,1,2,8,2,1.34,0,0,0,0,127.68,33,1
2,2,4,8,4,1.86,0,256,0,0,141.21,33,1
1,1,13,16,2,1.83,0,512,0,1,220.53,34,0
1,1,11,8,2,1.37,0,256,0,1,226.98,33,1
3,2,1,4,1,2.1,500,0,0,0,100.45,11,0
1,1,13,16,2,2.04,0,0,0,1,220.53,34,1
1,1,2,8,2,1.34,0,0,0,0,127.68,33,1
4,1,4,16,1,1.3,0,512,0,0,157.35,34,2
3,1,4,8,1,1.6,0,256,0,1,157.35,33,1
2,2,1,4,4,1.86,500,0,0,0,100.45,33,1
2,2,4,4,4,1.86,500,0,0,0,141.21,32,1
1,1,13,16,2,1.83,0,256,0,1,220.53,34,0
5,2,4,4,1,2.2,0,256,0,0,141.21,32,0
1,1,7,8,2,0.92,0,256,0,1,226.42,31,1
1,1,11,8,2,1.37,0,256,0,1,226.98,33,1
5,2,4,8,1,2.2,0,256,0,0,141.21,34,0
1,1,13,16,2,1.83,0,512,0,1,220.53,34,0
6,2,4,8,4,2.2,1000,0,0,0,141.21,32,2
5,1,4,8,1,1.22,0,128,1,1,165.63,33,1
4,3,1,2,1,0.98,0,0,0,0,135.09,27,1
6,4,4,8,1,2.5,1000,128,0,1,141.21,33,2
2,2,1,4,4,1.86,500,0,0,0,100.45,19,0
5,5,4,8,1,1.62,0,256,1,0,165.63,33,1
2,1,4,8,1,1.91,0,256,0,0,141.21,34,1
5,2,1,4,1,2.3,1000,0,0,0,100.45,32,1
1,1,2,8,2,1.35,0,0,0,0,127.68,33,1
5,2,4,8,1,2.2,0,256,0,0,141.21,33,0
5,1,4,8,1,1.88,0,512,0,0,141.21,34,1
2,2,4,8,1,2.5,1000,0,0,0,127.34,33,2
7,2,4,4,1,1.89,0,0,0,0,141.21,26,1
4,2,1,2,1,1.65,0,0,0,0,111.94,17,0
2,2,4,4,1,2.71,500,0,0,0,127.34,7,0
5,1,14,16,1,1.2,0,512,1,0,276.05,34,1
1,1,2,8,2,1.35,0,0,0,0,127.68,33,1
6,2,1,4,1,1.44,0,0,0,0,111.94,29,1
3,2,1,4,3,2.1,1000,0,0,0,100.45,32,1
5,2,4,8,1,2.8,1000,128,0,1,127.34,33,0
2,2,1,4,1,1.86,1000,0,0,0,100.45,33,1
2,2,4,8,1,2.1,0,256,0,0,141.21,33,2
4,2,4,4,3,2.0,1000,0,0,0,141.21,32,1
5,4,4,16,1,2.65,1000,256,0,1,141.21,34,2
4,2,1,8,3,2.3,1000,0,0,0,100.45,33,2
3,2,4,4,1,2.2,0,256,0,1,141.21,33,1
5,5,4,12,1,2.77,1000,0,1,0,127.34,33,2
1,1,11,8,2,1.37,0,256,0,1,226.98,33,1
6,2,1,4,4,2.2,0,128,0,0,100.45,32,1
4,4,4,8,1,3.2,1000,256,0,0,127.34,23,0
5,2,4,4,1,2.3,0,256,0,0,141.21,33,0
4,2,1,4,1,2.8,1000,0,0,0,90.58,36,2
6,5,5,4,4,0.69,0,0,1,1,224.17,28,1
3,2,4,8,1,2.2,0,256,0,1,141.21,34,2
2,2,4,4,1,1.86,0,256,0,0,141.21,7,0
2,2,4,8,1,1.49,0,512,0,0,165.63,34,1
3,2,1,4,1,2.4,1000,0,0,0,100.45,32,1
5,2,4,8,1,2.13,0,256,0,0,141.21,34,0
2,2,4,4,1,1.91,0,128,0,0,141.21,32,1
4,2,1,4,1,2.0,0,256,0,0,100.45,33,1
8,4,4,16,1,2.43,2000,256,0,0,127.34,34,2
4,2,4,4,3,2.0,0,256,0,0,141.21,32,1
5,2,4,16,1,2.8,2000,256,0,0,127.34,34,0
5,1,4,8,1,1.7,0,256,0,0,157.35,33,1
6,2,4,8,4,1.7,0,256,0,1,157.35,32,1
4,2,4,8,1,1.4,0,256,0,0,157.35,33,1
2,2,4,8,1,1.86,0,256,0,0,141.21,33,1
4,1,4,16,1,1.8,0,512,0,0,141.21,34,2
2,2,1,4,1,1.86,500,0,0,0,100.45,32,0
2,2,1,4,1,1.44,0,32,0,0,111.94,29,1
6,2,4,4,1,1.9,1000,0,0,0,141.21,33,1
4,4,4,12,3,3.0,1000,0,0,0,127.34,34,2
9,1,8,4,1,1.252,0,128,1,0,200.84,33,1
5,1,4,8,1,1.4,0,256,0,1,165.63,34,0
5,2,4,8,1,2.2,0,256,0,0,141.21,34,0
8,4,4,8,1,2.7,1000,128,0,0,127.34,33,2
3,2,1,8,1,2.1,1000,0,0,0,111.94,32,1
4,4,4,8,1,2.2,1000,0,0,0,141.21,34,2
6,2,4,8,4,2.2,2000,0,0,0,141.21,33,1
5,2,4,8,1,2.02,1000,128,0,0,141.21,34,1
