Company,TypeName,Inches,ScreenResolution,Ram(GB),OpSys,Weight(kg),Price_euros,HDD,SSD,TouchScreen,IPS,PPI,CpuName,GpuBrand
1,1,13.3,11,8,2,1.37,1339.69,0,128,0,1,226.98,33,1
1,1,13.3,2,8,2,1.34,898.94,0,0,0,0,127.68,33,1
2,2,15.6,4,8,4,1.86,575.0,0,256,0,0,141.21,33,1
1,1,15.4,13,16,2,1.83,2537.45,0,512,0,1,220.53,34,0
1,1,13.3,11,8,2,1.37,1803.6,0,256,0,1,226.98,33,1
3,2,15.6,1,4,1,2.1,400.0,500,0,0,0,100.45,11,0
1,1,15.4,13,16,2,2.04,2139.97,0,0,0,1,220.53,34,1
1,1,13.3,2,8,2,1.34,1158.7,0,0,0,0,127.68,33,1
4,1,14.0,4,16,1,1.3,1495.0,0,512,0,0,157.35,34,2
3,1,14.0,4,8,1,1.6,770.0,0,256,0,1,157.35,33,1
2,2,15.6,1,4,4,1.86,393.9,500,0,0,0,100.45,33,1
2,2,15.6,4,4,4,1.86,344.99,500,0,0,0,141.21,32,1
1,1,15.4,13,16,2,1.83,2439.97,0,256,0,1,220.53,34,0
5,2,15.6,4,4,1,2.2,498.9,0,256,0,0,141.21,32,0
1,1,12.0,7,8,2,0.92,1262.4,0,256,0,1,226.42,31,1
1,1,13.3,11,8,2,1.37,1518.55,0,256,0,1,226.98,33,1
5,2,15.6,4,8,1,2.2,745.0,0,256,0,0,141.21,34,0
1,1,15.4,13,16,2,1.83,2858.0,0,512,0,1,220.53,34,0
6,2,15.6,4,8,4,2.2,499.0,1000,0,0,0,141.21,32,2
5,1,13.3,4,8,1,1.22,979.0,0,128,1,1,165.63,33,1
4,3,11.6,1,2,1,0.98,191.9,0,0,0,0,135.09,27,1
6,4,15.6,4,8,1,2.5,999.0,1000,128,0,1,141.21,33,2
2,2,15.6,1,4,4,1.86,258.0,500,0,0,0,100.45,19,0
5,5,13.3,4,8,1,1.62,819.0,0,256,1,0,165.63,33,1
2,1,15.6,4,8,1,1.91,659.0,0,256,0,0,141.21,34,1
5,2,15.6,1,4,1,2.3,418.64,1000,0,0,0,100.45,32,1
1,1,13.3,2,8,2,1.35,1099.0,0,0,0,0,127.68,33,1
5,2,15.6,4,8,1,2.2,800.0,0,256,0,0,141.21,33,0
5,1,15.6,4,8,1,1.88,1298.0,0,512,0,0,141.21,34,1
2,2,17.3,4,8,1,2.5,896.0,1000,0,0,0,127.34,33,2
7,2,15.6,4,4,1,1.89,244.99,0,0,0,0,141.21,26,1
4,2,14.0,1,2,1,1.65,199.0,0,0,0,0,111.94,17,0
2,2,17.3,4,4,1,2.71,439.0,500,0,0,0,127.34,7,0
5,1,13.3,14,16,1,1.2,1869.0,0,512,1,0,276.05,34,1
1,1,13.3,2,8,2,1.35,998.0,0,0,0,0,127.68,33,1
6,2,14.0,1,4,1,1.44,249.0,0,0,0,0,111.94,29,1
3,2,15.6,1,4,3,2.1,367.0,1000,0,0,0,100.45,32,1
5,2,17.3,4,8,1,2.8,979.0,1000,128,0,1,127.34,33,0
2,2,15.6,1,4,1,1.86,488.69,1000,0,0,0,100.45,33,1
2,2,15.6,4,8,1,2.1,879.0,0,256,0,0,141.21,33,2
4,2,15.6,4,4,3,2.0,389.0,1000,0,0,0,141.21,32,1
5,4,15.6,4,16,1,2.65,1499.0,1000,256,0,1,141.21,34,2
4,2,15.6,1,8,3,2.3,522.99,1000,0,0,0,100.45,33,2
3,2,15.6,4,4,1,2.2,682.0,0,256,0,1,141.21,33,1
5,5,17.3,4,12,1,2.77,999.0,1000,0,1,0,127.34,33,2
1,1,13.3,11,8,2,1.37,1419.0,0,256,0,1,226.98,33,1
6,2,15.6,1,4,4,2.2,369.0,0,128,0,0,100.45,32,1
